back_dock_failed.wav,"Nepavyko pasiekti įkrovimo stotelės. Pašalinkite kliūtis aplink ją ir nuvalykite įkrovimo kontaktus."
bin_in.wav,"Dulkių talpykla įstatyta."
bin_out.wav,"Dulkių talpykla išimta."
binout_error10.wav,"Dulkių talpykla išimta. Išvalykite filtrą."
build_map_finish.wav,"Žemėlapis sudarytas. Peržiūrėkite jį programėlėje."
build_map_restart.wav,"Nepavyko nustatyti buvimo vietos. Žemėlapis sudaromas iš naujo."
build_map_resume.wav,"Tęsiamas žemėlapio sudarymas."
build_map_start.wav,"Pradedamas žemėlapio sudarymas."
build_map_stop.wav,"Žemėlapio sudarymas sustabdytas dėl žemo įkrovos lygio."
carpet_found.wav,"Užlipta ant kilimo."
carpet_left.wav,"Nulipta nuo kilimo."
charging.wav,"Kraunamasi."
child_lock_off.wav,"Apsauga nuo vaikų išjungta."
child_lock_on.wav,"Apsauga nuo vaikų įjungta."
child_lock_on_click.wav,"Įjungta apsauga nuo vaikų. Ją išjungsite, palaikę nuspaustą lokalaus valymo mygtuką."
clean_bin.wav,"Ištuštinkite dulkių talpyklą"
clean_failed.wav,"Nepavyko pasiekti nurodytos vietos. Grįžtama į įkrovimo vietą."
clean_finish.wav,"Valymas baigtas. Grįžtama į įkrovimo vietą."
clean_partialdone.wav,"Nepavyko pasiekti nurodytos vietos. Valymas baigtas. Grįžtama į įkrovimo vietą."
dust_collection.wav,"Ištuštinama dulkių talpykla."
error_clean_base.wav,"Automatinio ištuštinimo stotelės klaida. Prijunkite ją prie elektros tinklo iš naujo ir bandykite dar kartą."
error_dock.wav,"Įkrovimo stotelės klaida. Prijunkite ją prie elektros tinklo iš naujo ir bandykite dar kartą."
error_internal.wav,"Vidinė klaida. Perleiskite robotą."
error1.wav,"Klaida numeris 1. Uždengtas lazeris arba užstrigusi jo galvutė. Patikrinkite, ar nėra kliūčių ir bandykite dar kartą."
error2.wav,"Klaida numeris 2. Užstrigęs buferis. Jį nuvalykite ir lengvai spustelėkite."
error3.wav,"Perkelkite robotą į kitą vietą ir pradėkite iš naujo."
error4.wav,"Klaida numeris 4. Sutriko kritimo jutiklių veikimas. Nuvalykite kritimo jutiklius, perkelkite robotą į kitą vietą ir bandykite iš naujo."
error5.wav,"Klaida numeris 5. Užstrigęs pagrindinis šepetys. Išėmę, išvalykite šepetį ir jo lizdą."
error6.wav,"Klaida numeris 6. Užstrigęs pakraščių šepetėlis. Išimkite ir išvalykite jį."
error7.wav,"Klaida numeris 7. Užstrigę roboto ratai. Perkelkite robotą ir bandykite iš naujo."
error8.wav,"Klaida numeris 8. Robotas užblokuotas. Pašalinkite aplink jį esančias kliūtis."
error9.wav,"Iš roboto išimta dulkių talpykla arba filtras. Įstatykite juos atgal ir bandykite dar kartą."
error10.wav,"Klaida numeris 10. Filtras užsikimšęs arba drėgnas. Jį išvalykite ir išdžiovinkite arba pakeiskite nauju, tada bandykite dar kartą."
error12.wav,"Žema akumuliatoriaus įkrova. Įkraukite robotą, tada bandykite dar kartą."
error13.wav,"Klaida numeris 13. Sutriko įkrovimas. Nuvalykite įkrovimo kontaktus ir bandykite dar kartą."
error14.wav,"Akumuliatoriaus temperatūra netinkama. Palaukite, kol ji normalizuosis."
error15.wav,"Klaida numeris 15. Nešvarus sienos jutiklis. Išvalykite jį."
